Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-08 00:00:00-05:00,432.36,1.19,4.58,1.14,-10.58,-9.24,-21.82,IDXX,EQUITY,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,https://www.idexx.com
2025-01-08 00:00:00-05:00,19.88,-0.65,-0.85,-4.42,-10.69,-35.13,-58.07,INTC,EQUITY,Intel Corporation,Technology,Semiconductors,https://www.intel.com
2025-01-08 00:00:00-05:00,626.05,1.73,-0.39,-3.49,3.86,-3.5,3.91,INTU,EQUITY,Intuit Inc.,Technology,Software - Application,https://www.intuit.com
2025-01-08 00:00:00-05:00,544.02,2.28,4.23,-0.66,13.42,24.71,64.58,ISRG,EQUITY,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,https://www.intuitive.com
2025-01-08 00:00:00-05:00,31.12,1.43,-2.41,-4.95,-14.45,-3.96,-0.06,KDP,EQUITY,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,https://www.keurigdrpepper.com
2025-01-08 00:00:00-05:00,686.2,-0.45,8.9,6.78,-11.16,-16.72,24.44,KLAC,EQUITY,KLA Corporation,Technology,Semiconductor Equipment & Materials,https://www.kla.com
2025-01-08 00:00:00-05:00,29.66,-0.37,-3.42,-4.04,-12.1,-4.64,-19.36,KHC,EQUITY,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,https://www.kraftheinzcompany.com
2025-01-08 00:00:00-05:00,77.04,-0.62,6.66,2.75,-4.73,-26.92,5.26,LRCX,EQUITY,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,https://www.lamresearch.com
2025-01-08 00:00:00-05:00,420.01,1.22,0.32,-6.37,-10.32,-1.5,4.53,LIN,EQUITY,Linde plc,Basic Materials,Specialty Chemicals,https://www.linde.com
2025-01-08 00:00:00-05:00,392.92,-0.14,2.75,13.95,49.65,29.95,-19.1,LULU,EQUITY,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,https://corporate.lululemon.com
2025-01-08 00:00:00-05:00,273.53,1.39,-1.94,-6.48,9.89,14.79,21.98,MAR,EQUITY,"Marriott International, Inc.",Consumer Cyclical,Lodging,https://www.marriott.com
2025-01-08 00:00:00-05:00,118.23,1.72,7.04,4.29,63.8,66.8,86.75,MRVL,EQUITY,"Marvell Technology, Inc.",Technology,Semiconductors,https://www.marvell.com
